323,Dhaulagiri Himal (NE of Putha Hiunchuli),3
324,Khumbu Himal (ESE of Pethangtse on Tibetan border),4
325,Shringi Himal (in Tsum Valley N of Pashuwo on Tibetan border),4
326,Khumbu Himal (WNW of Everest on Tibetan border),4
327,Damodar Himal (N of Chulu West),3
328,Damodar Himal (NE of Thorong La),3
329,Dhaulagiri Himal (W of Churen Himal),3
330,Raksha Urai Himal (ENE of Nampa),3
331,Kangchenjunga Himal (N of Ramtang),3
332,Rolwaling Himal (W of Tesi Laptsa),3
333,Kangchenjunga Himal (N of Kangbachen),3
334,"Mansiri Himal (SE of Manaslu, NE of Himalchuli Main)",3
335,Peri Himal (NW of Himlung on Tibetan border),4
336,Simhalila Himal (SW of Kabru on Indian border),5
337,Rolwaling Himal (N of Pimu),3
338,Rolwaling Himal (S of Dingjung Ri on Tibetan border),4
339,"Api Himal (S of Nampa, Bobaye and Jethi Bahurani)",3
340,Rolwaling Himal (NNE of Tarkago),3
341,Saipal Himal (SW of Saipal),3
342,Saipal Himal (NE of Saipal),3
343,Saipal Himal,3
344,Makalu Himal (ENE of Shershon village on Tibetan border),4
345,Manaslu Himal (NNE of Panpoche 1 & 2 on Tibetan border),4
346,Damodar Himal (ENE of Bhrikuti),3
347,Kanjiroba Himal (N of Kanjiroba North),3
348,,3
349,Ohmi Kangri Himal (N of Sharphu range),3
350,Khumbu Himal (E of Lhotse Shar on Tibetan border),4
351,Langtang Himal (E of Langtang Lirung on Tibetan border),4
352,Makalu Himal (NE of Shershon village on Tibetan border),4
353,Kanjiroba Himal (SE of Kanjiroba and Tripura Hiunchuli),3
354,Makalu Himal (NW of Shershon on Tibetan border),4
355,Manaslu Himal (SE of Manaslu),3
356,Annapurna Himal (Annapurna Sanctuary),3
357,Sisne Himal (SW of Juphal in Rukum),3
358,Mukut Himal (ENE of Dhaulagiri II near French Pass),3
359,Dhaulagiri Himal (E of Dhaulagiri II),3
360,Kangchenjunga Himal (W of Kumbhakarna),3
361,Ohmi Kangri Himal (WNW of Kangchenjunga),3
362,Jongsang Himal (NE of Pathibhara on Indian border),5
363,Kanjiroba Himal (S of Tso Karpo Kang),3
364,Api Himal (SSE of Jethi Bahurani),3
365,Kanti Himal (SE of Kanti Himal peak on Tibetan border),4
366,Manaslu Himal (N of Samdo village on Tibetan border),4
367,Ohmi Kangri Himal (SW of Ohmi Kangri near Tibetan border),3
368,Kanti Himal (W of Kanti Himal peak on Tibetan border),4
369,Kanti Himal (NE of Mariyang on Tibetan border),4
370,Kangchenjunga Himal (W of Nepal Peak),3
371,Annapurna Himal (E of Glacier Dome),3
372,Mukut Himal (N of Dhampus Peak),3
373,Damodar Himal (NNE of Yakawa Kang),3
374,Khumbu Himal (NW of Ama Dablam),3
375,Rolwaling Himal (NE of Tesi Laptsa),3
376,Jongsang Himal (NW of Kangchenjunga),3
377,Rolwaling Himal (E of Tesi Laptsa),3
378,"Muktinath Himal, south of Thorong La",3
379,Khumbu Himal (S of Nup La on Tibetan border),4
380,Manaslu Himal (SW of Manaslu),3
381,Annapurna-Nilgiri Himal (N of Annapurna I),3
382,Peri Himal (SE of Gyajikang),3
383,Rolwaling Himal (W of Kwangde),3
384,Rolwaling Himal (ESE of Takargo),3
385,Rolwaling Himal (E of Chobutse),3
386,Simhalila Himal (S of Kangchenjunga on Indian border),5
387,Shringi Himal (ENE of Chamar),3
388,Mukut Himal (N of Hongde in Hidden Valley),3
389,Jugal Himal (NNW of Dome Blanc on Tibetan border),4
390,Kanjiroba Himal (SE of Kanjiroba),3
391,Janak Himal (WSW of Janak Chuli),3
392,"Kanjiroba Himal (E of Kanjiroba, W of Tso Karpo Kang)",3
393,Kanjiroba Himal (E of Kanjiroba),3
394,Dhaulagiri Himal (SSE of Dhaulagiri V),3
395,Dhaulagiri Himal (NE of Dhaulagiri I),3
396,Makalu Himal (SE of Makalu),3
397,Jugal Himal (W of Dorje Lhakpa),3
398,Langtang Himal (W of Ganja La),3
399,Damodar Himal (N of Thorong La),3
400,Kangchenjunga Himal (W summit of Kangchenjunga),3
401,Kangchenjunga Himal (W summit of Yalung Kang),3
402,Jugal Himal (N of Phurbi Chhyachu on Tibetan border),4
403,Ohmi Kangri Himal (NW of Nangamari on Tibetan border),4
404,Langtang Himal (SW of Shalbachum on Tibetan border),3
405,Palchung Himal (SE of Changdi on Tibetan border),4
406,Guras Himal (NW of Nampa on Tibetan border),3
407,Kangchenjunga Himal (WSW of Kangbachen),3
408,Ganesh Himal (NW of Ganesh III on Tibetan border),4
409,Guras Himal (NNE of Nampa towards Tibetan border),4
